ID,Beer,Beer_style,IBU,ABV,Brewery,Brewery_location,Brewery_country,Beer_region,Venue,Venue_location,Friends,Rating,Serving_style,Photo_url,Date,Comment
405,Stout,Stout - Foreign / Export,17,5,A Fábrica Brewpub,"41,149544298058295, -8,612820421607362",Portugal,Norte,Bar da Ramada,"41,44026723548995, -8,290909600678065",FZ,2.50,Draft,https://assets.untappd.com/photos/2023_12_08/74eb8d661002ba434172adb46776b54d_640x640.jpg,08/12/2023,"I literally jared against a not flavoursome stout, I could feel a chemical red berries, Other than that it was just soo bitter/hoppy tasted like a brewing defect,"
20,Azorean IPA,IPA - Other,51,"6,2",A Nossa Cervejaria Artesanal Mariense,"36,96781957204946, -25,156606013492528",Portugal,Açores,Home - Ponta Delgada,"37,74863178945047, -25,66834415908759",FZ,3.00,Bottle,https://assets.untappd.com/photos/2023_11_06/2fa964df024f2bacaf05dfb0af9a361b_640x640.jpg,06/11/2023,"For the muse awakening, A rare one not from the main island, Genuine azorean beer, Strong passion fruit flavour, but also a strong hoppy flavour that I wasn't fan of,"
16,Javali Porter,Porter - Other,32,"6,2",A.M.O.,"38,72599903909791, -9,143683456780414",Portugal,Área Metropolitana de Lisboa,Crafty Corner,"38,7094900712875, -9,131797371358115",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_11_07/3c4dd30d31e68547ab14a9cb46d71331_640x640.jpg,07/11/2023,"A plain porter, very weak taste,"
120,Leffe Brune / Bruin,Brown Ale - Belgian,20,"6,5",Abbaye de Leffe,"50,268914241118864, 4,907533304416442",Belgium,Wallonie,Home - Jablonec nad Nisou,"50,72814057267898, 15,182728983964028",,2.25,Bottle,https://assets.untappd.com/photos/2023_07_04/a5b18c2f5084ec0334fe65fa48369bd1_640x640.jpg,04/07/2023,"pretty wild, first time having Belgian beer, I would probably avoid it next time, but everything is about getting used to"
824,Lucia,Wild Ale - Other,15,"5,7",Acid Joe,"50,27276607087784, 18,997620265173417",Poland,Województwo śląskie,Nowy Kraftowy,"50,05178955306931, 19,944331113390955","LP, MK, PL",3.25,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2025_04_26/76865637004a8ed4577c709dcd746f6a_c_1474481242_raw.jpg,27/04/2025,"Drahej kyseláč jako prase 180,- za malý je hodně přehnaný, je to kyselý, po čichu cítím aronii, v chuti pak aronii s borůvkou"
433,Break On Through,IPA - American,,"6,5",Aguarela,"38,70936761620745, -9,13412933115215",Portugal,Área Metropolitana de Lisboa,Baobab - Craft Beer Pub,"41,15036710692312, -8,612140129762825",FZ,3.75,Draft,https://assets.untappd.com/photos/2024_01_26/e18f0295b6d77c362985705614ad4b97_640x640.jpg,26/01/2024,Very good westcoast!
44,Hydrophobic,Stout - Imperial / Double Coffee,,10,Aguarela,"38,70936761620745, -9,13412933115215",Portugal,Área Metropolitana de Lisboa,Baobab - Craft Beer Pub,"41,15036710692312, -8,612140129762825",FZ,4.50,Draft,https://assets.untappd.com/photos/2023_09_29/74b40a8219330a974db56dbf3cf26120_640x640.jpg,29/09/2023,"Guys guys guys, if you like stout, it's necessary to visit this venue, owners really have sense for them, I wish this moment lasted for forever,"
380,Bohemian Lager 11%,Lager - Pale,35,"4,4",Akciový pivovar Libertas,"50,07060494493681, 14,732333371158395",Czech Republic,Středočeský kraj,Šenkýrna U Milionu,"50,05458949546689, 14,532287091388273",,4.00,Draft,https://assets.untappd.com/photos/2022_11_03/582e81665042689288283509daf7de39_640x640.jpg,03/11/2022,"s touto značkou se setkávám poprvé a určitě ne naposled! skvěle hořké, tak akorát 37 IBU si zapisuji jako hodnotu ideál"
198,Libertas 11% American Pale Ale,Pale Ale - American,40,"4,7",Akciový pivovar Libertas,"50,07060494493681, 14,732333371158395",Czech Republic,Středočeský kraj,Appartment Karlovo,"50,0768986379187, 14,419140522091425",WS,2.50,Bottle,https://assets.untappd.com/photos/2023_04_14/b43f39c11fc31fc21dde4b742e7a1fd3_640x640.jpg,15/04/2023,"No hele, na to že jsem byl v peaku mé nálady, tak oproti Brankáři 11° v kelímcích na beerpong to nebyl až takovej rozdíl, jakej by člověk čekal,"
690,Libertas 12% Bohemian Lager,Lager - Pale,37,"4,7",Akciový pivovar Libertas,"50,07060494493681, 14,732333371158395",Czech Republic,Středočeský kraj,Waid,"50,07459907010609, 14,431106873909824",,3.25,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_10_18/cc8e00477242fd1d3d3687adc1451758_c_1426362329_raw.jpg,18/10/2024,Mid lager
689,12% HAPA 'Friends',Pale Ale - American,45,"4,6",Akciový pivovar Libertas,"50,07060494493681, 14,732333371158395",Czech Republic,Středočeský kraj,Waid,"50,07459907010609, 14,431106873909824",,3.50,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_10_18/a20409766265fe03f0abc826099ba7f9_c_1426346210_raw.jpg,18/10/2024,"Afterwork beer with colleagues, a good one!"
200,Libertas 14% IPA,IPA - American,50,"5,9",Akciový pivovar Libertas,"50,07060494493681, 14,732333371158395",Czech Republic,Středočeský kraj,Appartment Karlovo,"50,0768986379187, 14,419140522091425",WS,3.75,Bottle,https://assets.untappd.com/photos/2023_04_14/9e74de5b872f700c04520af17a77c89c_640x640.jpg,14/04/2023,"Když je rallye neveselý, všichni máme co jsme chtěli a tím je to celý, Lepší start večera si nedokážu představit, dobrá společnost s nadstandartním pivkem,"
104,Jablko hruškový cider,Cider - Other Fruit,,"4,5",Amity (Joker Cider),"50,11885670710588, 16,217786135415793",Czech Republic,Liberecký kraj,Základna,"50,73435525282026, 15,176969399681854","MJ, ME, TV",4.25,Draft,https://assets.untappd.com/photos/2023_07_15/df1cc948b77680eb75c1eae92a31182a_640x640.jpg,15/07/2023,"holly molly this one's brilliant! genuine pear taste at the very beginning transforms into apples in the second half, sweet as well, yummy as hell"
31,Classic Apple,Cider - Dry,,"4,5",Apple Bandit Cider,"52,372598799578775, 4,876744064415919",Netherlands,Noord-Holland,Home - Porto,"41,18646465415369, -8,615205344910727",,3.75,Can,https://untappd.com/user/Sklibic82/checkin/1325474964,24/10/2023,"Even better the fish was, so far the best commercial cider here"
40,Armazém da Cerveja,Pilsner - Czech / Bohemian,,"4,9",Armazém da Cerveja,"41,147632563032474, -8,603766093247117",Portugal,Norte,Armazém da Cerveja - Craft Beer Bar & Shop,"41,147632563032474, -8,603766093247117",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_10_04/441a7667a699031d3b6ce2e95b735723_640x640.jpg,04/10/2023,"Pretty solid pils, it will probably never have the body of Czech beer, but the bitterness is decent, however the first half was way better than the second one"
783,Ārpus x Frontaal TDH Enigma x Vic Secret DIPA,IPA - Imperial / Double New England / Hazy,,8,Ārpus Brewing Co.,"57,085707059752664, 24,297348186520278",Latvia,Vidzeme,Drinkøtéka,"50,0712144571331, 14,41445507021512","TS, WS, FZ",4.00,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2025_02_25/084323d4105f1a9acabae00565baeec5_c_1459224881_raw.jpg,25/02/2025,I think I feel the Arpus handwriting again
708,QDH Waimea x NZ Cascade x Nelson x Citra TIPA,IPA - Triple,,"9,5",Ārpus Brewing Co.,"57,085707059752664, 24,297348186520278",Latvia,Vidzeme,Drinkøtéka,"50,0712144571331, 14,41445507021512","FZ, MS",3.75,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_11_04/2980aff27f0e9463767e5c76b664cf5b_c_1431136767_raw.jpg,04/11/2024,"I'll be very strict this time, it's too sweet and what lingers it's the alcohol which you don't want in general, I can feel the Arpus handwriting but I know they can do better"
660,TDH Waimea DIPA,IPA - Imperial / Double New England / Hazy,,8,Ārpus Brewing Co.,"57,085707059752664, 24,297348186520278",Latvia,Vidzeme,Drinkøtéka,"50,0712144571331, 14,41445507021512","FZ, TS",4.50,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_09_17/02d65d6bfefba024027301d918cf2e50_c_1418249845_raw.jpg,17/09/2024,A flavour rollercoaster
304,DDH Citra x Galaxy x Enigma Pale Ale,Pale Ale - New England / Hazy,,"5,5",Ārpus Brewing Co.,"57,085707059752664, 24,297348186520278",Latvia,Vidzeme,Alus Muiža,"56,95355529429827, 24,129762814278692","PL, LP",4.75,Draft,https://assets.untappd.com/photos/2023_01_13/48324770c1ed68f3eaad9ad1ad4f7b48_640x640.jpg,13/01/2023,"dámy a pánové, tohle je lotyšský I'm waiting here od Zichovce, naprostej luxus"
622,TDH Peacharine x Nelson DIPA,IPA - Imperial / Double,,8,Ārpus Brewing Co.,"57,085707059752664, 24,297348186520278",Latvia,Vidzeme,Drinkøtéka,"50,0712144571331, 14,41445507021512",TS,4.75,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_08_07/fb1934a03c91e38bbeb080099ebcfd03_c_1406404688_raw.jpg,07/08/2024,Basically an orgasm during the first sip
794,Asahi Super Dry,Lager - Japanese Rice,20,5,Asahi Breweries,"35,70952954586558, 139,80052485544775",Japan,Tokyo,OMG,"50,07791578599826, 14,418361506252618",,3.00,Bottle,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2025_04_04/a59453d8957261b601d50bc6a9bad42a_c_1468115001_raw.jpg,04/04/2025,"Pretty clean a go to Asian lager for hot summer days, a little metalic taste as well"
599,Tripception,Belgian Tripel,28,8,Axiom Brewery,"49,47238040682596, 17,133291732319353",Czech Republic,Olomoucký kraj,Pivstro,"49,74568717748942, 13,374387384432865","WS, TS",3.50,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_07_09/08f73a21ab82fdf212d056d10e9ec277_c_1397444430_raw.jpg,09/07/2024,"Clearly belgian, bearable!"
583,BlackCurrant & PinkPepper,Sour - Other,,"4,9",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Bad Flash Bar,"50,07158852973994, 14,44705126550343",TB,3.00,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_06_25/592b2a7560301c597888928c724fc16e_c_1393201254_raw.jpg,25/06/2024,"Not addressing, not spicy at all, plain flavoured"
271,Prostě ležák 12,Pilsner - Czech / Bohemian,,"4,8",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Zlý časy,"50,06433755590536, 14,442049099685246",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_02_13/dfabfb93c193b1c9ade431b41c0a1570_640x640.jpg,13/02/2023,"po týdnu jsem zase zpět připraven přinášet novinky z pivního světa, začínám opatrně ležáčkem a mile překvapil, příjemná hořkost, příjemný říz, jen tak dál"
188,Denali NEIPA,IPA - New England / Hazy,,"7,5",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Zlý časy,"50,06433755590536, 14,442049099685246",WS,3.75,Draft,,28/04/2023,"bohužel bez fota, věnoval jsem se společnosti viz předchozí příspěvek, spontánní hospůdka po společném lezení"
566,Mango Chilli Sour Ale,Sour - Fruited,8,"4,9",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Rock for People,"50,246756245826106, 15,837240959433501",PL,3.75,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_06_13/74f7f409c7e423ef62a0ffc0775b495b_c_1389290478_raw.jpg,13/06/2024,"Chilli lovers, get it until they sell it all"
574,Bikini Ale,Pale Ale - Other,,"4,8",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Rock for People,"50,246756245826106, 15,837240959433501",FZ,3.75,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_06_14/0e7df5c8aa61a43020f5862730ae2c25_c_1389654157_raw.jpg,14/06/2024,Maty Svítok módní návrhář
552,Torpid Mind,Stout - Russian Imperial,,"10,5",Bad Flash,"50,128906103778206, 14,454356221643813",Czech Republic,Hlavní město Praha,Festival minipivovarů na Pražském hradě,"50,093295874879736, 14,404924928754417","JŽ, AM, FZ, TS",4.50,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_06_07/5bf4be7b7ffaca87d8c1298dc6ba3ad8_c_1387585183_raw.jpg,07/06/2024,Hihi imperial stout
14,Catharina Passion Sour,Sour - Fruited,,"4,5",Bah! Craft Beer,"38,69758625690865, -9,380101859680762",Portugal,Área Metropolitana de Lisboa,Crafty Corner,"38,7094900712875, -9,131797371358115",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_11_07/bbee24fb22416fa9913160c5296ce4d5_640x640.jpg,07/11/2023,"Full of maracuja for sure,"
13,Baltika #6 Porter,Porter - Baltic,16,7,Baltika Breweries,"60,075619272348405, 30,365008346281638",Russia,Saint Petersburg,Home - Porto,"41,18646465415369, -8,615205344910727",FZ,3.75,Bottle,https://assets.untappd.com/photos/2023_11_08/77ea1b992300daaaf6d1f7ed1086cc7c_640x640.jpg,08/11/2023,"For a bottled beer very decent porter! Only con is a slightly metallic taste,"
402,Outono Tropical,IPA - New England / Hazy,,"4,3",Barona Brewing Company,"39,41200250834853, -7,346635873481639",Portugal,Portalegre,Baobab - Craft Beer Pub,"41,15036710692312, -8,612140129762825",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_12_07/adc18aece81ca38638c87eef75c3f494_raw.jpg,07/12/2023,"Hoppy light NEIPA,"
476,Quaker State,Stout - Oatmeal,,"5,3",Barreled Souls Brewing Company,"43,52363060406002, -70,427471401527",United States,ME,Still North Books & Bar,"43,70151515142498, -72,28998202959032",,3.50,Draft,https://images.untp.beer/crop?width=640&height=640&stripmeta=true&url=https://untappd.s3.amazonaws.com/photos/2024_04_15/3a8dcd43401f153df152d128c1485c4c_c_1372682962_raw.jpg,16/04/2024,Decently drinkable and flavourful at the same time
37,Bobby Dinero,IPA - American,,"8,4",Barrier Brewing Company,"40,63916266096027, -73,65610604434744",United States,NY,Baobab - Craft Beer Pub,"41,15036710692312, -8,612140129762825",FZ,4.50,Draft,https://assets.untappd.com/photos/2023_10_10/baacf330cb7d8c66acb58bde71eacd18_640x640.jpg,10/10/2023,"Holly molly heey, thumbs up USA! Thaat's delicious! New England def not far from East cost lol,"
395,Pie Eating Contest,Stout - Imperial / Double Pastry,,"11,2",Basqueland Brewing,"43,26671381285174, -1,9649468981231384",Spain,Euskadi,Baobab - Craft Beer Pub,"41,15036710692312, -8,612140129762825",FZ,4.00,Draft,https://assets.untappd.com/photos/2023_12_02/51c649879d85da3a2c38f153e5c68fc3_640x640.jpg,02/12/2023,"Oh boy, so alcoholic, better not as a first drink of the night choice"
411,Affogato,Stout - Imperial / Double Pastry,,"10,4",Basqueland Brewing,"43,26671381285174, -1,9649468981231384",Spain,Euskadi,Cask Beer,"41,14197320329, -8,618731257800224",FZ,4.00,Draft,https://assets.untappd.com/photos/2023_12_18/698b8fb12714ed1557c7dc55442c59ba_640x640.jpg,18/12/2023,"Mmm yes righteous coffeeish roasty stout, 👌"
52,Pot of Gold,IPA - New England / Hazy,,"6,2",Basqueland Brewing,"43,26671381285174, -1,9649468981231384",Spain,Euskadi,Catraio Craft Beer Shop,"41,1511145298617, -8,617299781023753",FZ,3.50,Draft,https://assets.untappd.com/photos/2023_09_15/e386fd8ccc3584506747774527974755_640x640.jpg,15/09/2023,"So nice hidden beergarden, not an exceptional NEIPA at all, but as we say, it doesn't offend you"
